annotation.is_fraud,annotation.fraud_type,annotation.fraud_labels.transaction_upi_fraud,annotation.fraud_labels.transaction_card_fraud,annotation.fraud_labels.transaction_bank_transfer,annotation.fraud_labels.commerce_nondelivery,annotation.fraud_labels.commerce_fake_seller,annotation.fraud_labels.credential_phishing,annotation.fraud_labels.social_authority_scam,annotation.fraud_labels.social_urgency_scam,annotation.fraud_labels.meta_victim_story,annotation.fraud_labels.meta_fraud_question,annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.amount_mentioned,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,annotation.key_features.amount_normalized,annotation.key_features.has_amount
0,none,0,0,0,0,0,0,0,0,0,0,unknown,email,none,credential,bank,synthetic,USD,-0.02613781163641396,0.4927321355879476,0.2644763516501038,1.4723635599311367,-0.000815698399879581,18958.14484105441,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,email,none,none,unknown,synthetic,unknown,-0.10515085212334226,0.9197663412521979,0.1879596570175433,0.22563232088205246,-0.0006327410374145324,16567.113513447406,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,sms,none,none,none,synthetic,unknown,-0.07936902109082901,0.41685599034375936,1.1271610572746316,0.11751366665959674,0.0019023175417110022,13742.357885746267,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,phone,clicked_link,none,none,synthetic,unknown,-0.05989196570745149,0.3312980180634673,1.4380238664177791,1.501390034681029,-0.00020908254068982242,1616.4876921540808,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,website,none,none,company,synthetic,unknown,0.0747720782666485,0.5842384391931723,0.3122425221660719,0.4940457934987899,-0.000492425962938947,-2961.8017502826433,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,email,shared_credentials,none,none,synthetic,unknown,-0.034740776587811856,0.21638891616469305,1.461156800272502,1.1497888801197214,0.0005671505050321607,2134.8680551778934,0
0,none,0,0,0,0,0,0,0,0,0,0,upi,email,none,unknown,none,synthetic,unknown,-0.061181602108292495,0.4575895989942207,1.4753406678061345,1.0178235023881617,-0.0010038769588744888,13905.85026403829,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,social_media,sent_money,payment,none,synthetic,unknown,0.05717964993919442,0.5532929852479778,0.7515869294630908,-0.011269853752550851,0.0019430816006526413,3032.978037995682,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,sms,sent_money,none,company,synthetic,unknown,0.014107404199675908,1.374174788257212,1.1853674542106607,0.26380351376303746,0.0015944915948980431,21978.68110444163,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,social_media,clicked_link,none,individual,synthetic,unknown,-0.005912089409372455,1.3718814256566016,0.2983601233307401,1.3675732897740849,0.00031712873659525204,22507.939485344436,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,sms | email | phone | social_media | website | app | unknown | none,unknown,unknown,none,synthetic,unknown,-0.08287228670610747,-0.2905161278585241,0.9119032725838231,0.7294120086005567,0.0018006819777380257,1678.732509598008,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,phone,none,none,none,synthetic,unknown,0.04121717568126331,1.291457709384186,1.7296068877589978,0.7639330774777695,0.0011335103932172666,10986.49946541358,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,phone,sent_money,verification,bank,synthetic,unknown,-0.07804034439351773,-0.24369568127047248,0.7780326413767376,0.9466173812776859,0.003194267598075643,435.7047781058438,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,unknown,shared_credentials,none,company,synthetic,unknown,-0.03249195292124854,1.584485312517322,1.616829410858179,1.1228235506826985,0.001451385833292567,-11261.850276599846,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,discord,none | unknown,none,none,synthetic,unknown,-0.005150348098530313,0.8980824347461196,0.8192520726066517,0.9689153407585059,0.0005334436619635971,-5807.954920876542,0
