annotation.is_fraud,annotation.fraud_type,annotation.fraud_labels.transaction_upi_fraud,annotation.fraud_labels.transaction_card_fraud,annotation.fraud_labels.transaction_bank_transfer,annotation.fraud_labels.commerce_nondelivery,annotation.fraud_labels.commerce_fake_seller,annotation.fraud_labels.credential_phishing,annotation.fraud_labels.social_authority_scam,annotation.fraud_labels.social_urgency_scam,annotation.fraud_labels.meta_victim_story,annotation.fraud_labels.meta_fraud_question,annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.amount_mentioned,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,1,0,upi,email,sent_money,payment,bank,,unknown,0.9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,website,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,1,0,0,0,0,0,0,0,0,card,email,sent_money,payment,company,2000,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,social_media,none,none,individual,unknown,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,unknown,none,none,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,0,1,0,0,unknown,social_media,shared_credentials,none,individual,,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,commerce,0,0,0,1,1,0,0,0,0,0,upi,website,clicked_link,commerce,company,,unknown,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,crypto,email,none,commerce,unknown,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,none,sent_money,payment,none,$20 ,USD,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
