annotation.is_fraud,annotation.fraud_type,annotation.fraud_labels.transaction_upi_fraud,annotation.fraud_labels.transaction_card_fraud,annotation.fraud_labels.transaction_bank_transfer,annotation.fraud_labels.commerce_nondelivery,annotation.fraud_labels.commerce_fake_seller,annotation.fraud_labels.credential_phishing,annotation.fraud_labels.social_authority_scam,annotation.fraud_labels.social_urgency_scam,annotation.fraud_labels.meta_victim_story,annotation.fraud_labels.meta_fraud_question,annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.amount_mentioned,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,annotation.key_features.amount_normalized,annotation.key_features.has_amount
1,transaction,0,1,0,0,0,0,0,0,0,0,bank,social_media,sent_money,payment,individual,400,USD,0.5,1.0,1.0,0.0,0.0,400.0,1
1,commerce,0,0,0,0,0,0,0,0,0,0,unknown,website,sent_money,payment,none,unknown,unknown,0.0,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,website,clicked_link,none,unknown,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,1,1,1,0,bank,phone,shared_credentials,transaction,company,350000,USD,1.0,1.0,1.0,1.0,0.0,350000.0,1
1,commerce,0,0,1,0,0,0,0,0,1,0,bank,sms,sent_money,payment,company,1000,EUR,0.5,1.0,1.0,0.0,0.0,1000.0,1
0,none,0,0,0,0,0,0,0,0,0,0,unknown,social_media,none,none,none,none,unknown,0.0,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,email,none,payment,paypal,{amount in USD},USD,0.9,1.0,1.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,1,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.5,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,1,0,0,bank,social_media,sent_money,payment,unknown,200000,unknown,1.0,1.0,0.0,0.0,0.0,200000.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,none,transaction,bank,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,20,EUR,1.0,1.0,0.0,1.0,0.0,20.0,1
1,social_engineering,0,0,0,0,0,0,0,1,0,0,unknown,sms,none,none,individual,unknown,unknown,1.0,1.0,0.0,0.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,commerce,0,0,1,1,0,0,0,0,0,0,bank,phone,sent_money,payment,company,36950,INR,1.0,1.0,1.0,0.0,0.0,36950.0,1
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,app,sent_money,transaction,unknown,"$21,000,000",USD,0.9,1.0,1.0,0.0,0.0,21000000.0,1
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,sms,sent_money,payment,none,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,1,0,bank,website,sent_money,payment,company,"$50,500",USD,1.0,1.0,1.0,1.0,0.0,50500.0,1
1,transaction,0,0,0,0,0,0,0,0,1,0,unknown,email,sent_money,payment,none,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,bank,website,sent_money,payment,company,unknown,unknown,0.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,none,payment,bank,6000,USD,1.0,1.0,1.0,1.0,0.0,6000.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,holded_coin,none,crypto_team,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,credential,0,0,0,0,0,1,0,0,0,0,unknown,email,clicked_link,phishing,axis_max_life_insurance,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,phone,paid,payment,builder,1420000,INR,0.8,1.0,1.0,1.0,0.0,1420000.0,1
1,transaction,1,0,0,0,0,0,0,0,1,0,upi,website,sent_money,transaction,bank,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,email,shared_credentials,none,school,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,none,sent_money,transaction,bank,50000,INR,1.0,1.0,0.0,1.0,0.0,50000.0,1
