annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,annotation.key_features.amount_normalized,annotation.key_features.has_amount
unknown,email,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,verification,individual,unknown,0.0331996131482287,0.02733881501384515,0.7403707396842133,0.8762190144583932,-0.004018122725661319,-530.8006877662941,0
upi,unknown,none,unknown,company,USD,-0.019456965846631244,0.8698292714784753,0.9445811670357948,0.903130320775751,-0.008779649875251176,-528.7963771767596,0
unknown,email,shared_credentials,none,unknown,unknown,0.021741792830454087,0.0762069401459934,-0.059956244803787986,0.8075128745544428,-0.004390357460926305,-2329.6006497205603,0
upi,email,installed_app,phishing,none,USD,0.003178191019988809,-0.09709839211418257,-0.07445957658778408,0.014766345500218773,-0.004226861886100688,-2735.7978591970027,0
crypto,social_media,none,transaction,company,unknown,0.014406642185077104,0.9476958316860273,1.0939372050935836,0.9387125464742934,-0.008430646724023123,978.7177698083746,0
unknown,sms,clicked_link,payment,company,unknown,0.019334062873592395,0.9185497799479027,-0.08654262367998351,-0.05189062514754436,-0.010788859770140373,-425.3908175974673,1
unknown,none,unknown,none,none,unknown,0.022872151037683686,0.9544322956028133,-0.007986823573997942,0.8378359202164162,0.0002271168379875681,-1461.1518383930613,0
bank,unknown,sent_money,payment | verification | login | download | none | unknown,none,unknown,-0.022111398870860593,0.07411779147025252,-0.00969577202813866,1.0809834602606052,0.0018573823199603417,-859.8163974951428,0
upi,website,clicked_link,verification,netflix,unknown,0.0034914299366089036,-0.09296571864317696,0.024972027298305704,0.9478599948296821,0.0027796458732895833,-849.9505881721934,0
unknown,social_media,none,none,none,unknown,0.025375986611685396,-0.05282685396455563,0.02322812897769588,0.036201294704916336,0.003386454451552338,-1886.4808273765325,0
unknown,unknown,abuse,transaction,none,unknown,-0.01815870377008179,0.9126390632561578,0.8162105018905296,0.03218789380160762,0.0025347288120090225,-2057.9175933194447,0
unknown,email,sent_money,transaction,marketplace,unknown,0.030642045504315003,0.17565432398378267,1.3468206587010827,0.9025245428429682,-0.004573176839517464,-1187.5932668563833,1
unknown,sms | email | phone | social_media | website | app | unknown | none,sent_money,verification,none,unknown,0.010028642151148568,-0.11631097941147489,0.8369383911743095,0.7013876614262651,-0.0035949210859816264,-3.535840414030716,0
gift_card,email,received,mining,none,INR,0.02781947347607251,0.03562203165405104,1.2972724464776972,0.8896612599708992,-0.0060619340962040705,2187.2066776582237,1
unknown,sms,reported,transaction,bank,unknown,-0.015405620364531808,1.0006340201903314,-0.01407427623257037,1.1213953495577433,-0.009838705838218182,1362.8053945978702,0
unknown,mail,changed_password,none,none,unknown,-0.015987913734156124,1.1958802127264454,0.008029940019833438,0.8823739442716039,-0.0065339996958852205,2289.4044809709417,1
unknown,phone,none,verification,dropbox,unknown,0.016133351276927763,0.005493198888631315,0.705465984115611,0.9096818563752535,0.0018990429905363505,-672.1808728550234,0
unknown,phone,shared_credentials,payment,unknown,unknown,-0.0036162658179597993,0.1136094070205583,-0.019296015719355814,-0.03185690380084461,-0.006483652241208926,582.4899940956464,1
card,phone,sent_money,credential,microsoft,unknown,-0.009905890681701928,1.0014491893203417,0.0057370665214212056,0.7451184604794024,-0.008183552321710919,1765.841719355457,0
upi | card | bank | crypto | gift_card | unknown | none,sms | email | phone | social_media | website | app | unknown | none,clicked_link,payment,none,unknown,-0.010983980722110027,0.024898251365807103,1.1032838982217956,0.0338364763163469,-0.00346954868778761,162.62079659535863,1
unknown,email,sent_money,unknown,google,unknown,-0.01016529671124987,0.047098925102708994,1.2262682811254333,0.8388541722412372,-0.010261843522910133,35.72506547194055,0
crypto,sms | email | phone | social_media | website | app | unknown | none,clicked_link,none,unknown,unknown,-4.9148978237363155e-05,0.9227106194560497,0.009956738671031428,-0.04327472767151303,-0.004921426627093997,2926.3610091754836,0
upi | card | bank | crypto | gift_card | unknown | none,website,none,none,none,unknown,0.006266044600740222,-0.08249808794613163,1.1548295134425266,1.0498742258235239,0.0013262815678599285,1789.7701440083056,1
upi,sms,shared_credentials,payment,none,unknown,0.011836681931494966,0.053752611226966104,1.3337421361725323,-0.03200795540115684,0.007320389180442586,2864.3140415641283,0
card,mail,clicked_link,payment,netflix,unknown,0.01745262883273133,0.07720822285862075,0.9979170708382947,-0.11105127985420565,0.0036456875105378922,-860.2106679741611,0
unknown,website,clicked_link,payment,unknown,unknown,-0.003915832473872298,0.07259644344130842,-0.06318479344876572,0.8678893118989829,-0.0019343518872164843,-1307.9163968913028,1
unknown,website,none,none,bank,unknown,-0.01398124771414741,0.9087557593146423,-0.11120170757996134,0.8398798973803183,0.0012979496388107956,-1483.148654355883,0
unknown,website,installed_app,none,none,unknown,0.02066760653162062,1.186366546028119,1.0737469337577572,-0.060947575466715316,-0.006033408605426732,-2711.5460564951445,1
unknown,email,shared_credentials,payment,unknown,unknown,0.011945344499755723,0.08002767792966015,0.060561016592686236,0.00881840109355499,0.0017798534734123463,4798.363093916769,0
gift_card,social_media,sent_money,verification,company,unknown,0.007982622674139093,1.0280229184766927,0.052045916461862574,-0.07483225416846583,-0.007946416102551227,3007.0667092677386,0
unknown,phone,abuse,none,company,unknown,0.031463914578937234,1.0826269962471844,0.09215728841336189,1.147348885683196,0.006747145223909673,1802.9605304158465,0
bank,website,clicked_link,activation,amazon,unknown,-0.013050116857046037,0.10336167763127067,1.0524483301960408,0.16060528936614207,-4.7916117175252235e-05,-438.3467161451298,0
bank,sms | email | phone | social_media | website | app | unknown | none,clicked_link,none,bank,unknown,0.02923879957970628,-0.025018815907651,0.049914502589754564,-0.013141546446416246,0.002143248976769532,-1446.5530384763051,0
crypto,sms,installed_app,none,company,unknown,-0.00947409236493882,0.16366339941171124,1.1909209158261338,0.049838214794151764,0.011477924903719513,-1614.935419905151,1
unknown,sms,sent_money,none | unknown,unknown,unknown,0.014738763618525212,-0.03386139256976068,-0.006961706366339729,0.7668055238374037,-0.0024738079016439927,-978.2878586175386,0
unknown,website,clicked_link,none,health_department,unknown,0.004566632624116593,0.8920293504721042,-0.024967421381459097,-0.06496392664012235,-0.0010685990915760778,43.15542780479542,0
unknown,sms | email | phone | social_media | website | app | unknown | none,sent_money,payment,none,USD,0.021199744154168,0.05591879332703178,0.09963455092869783,-0.021757126329632455,-0.003895862455483037,98.84357224365695,1
upi | card | bank | crypto | gift_card | unknown | none,sms,none,payment | verification | login | download | none | unknown,none,USD,-0.011168986215789217,0.9362880003548657,0.006855629120952739,0.8615174366138314,-0.0005982634090531459,2581.1201741938726,0
unknown,phone,unknown,verification,company,unknown,-0.019061016721439852,0.9119875518955325,1.0061146527051095,1.0608153475828648,-0.004005198858362962,-1495.5903081343622,0
unknown,social_media,sent_money,unknown,unknown,unknown,-0.0015988665628889958,0.9983145309900083,0.05665862061435223,0.747641306656515,0.003962132613230925,-505.6144879400097,0
upi,email,clicked_link,mining,linkedin,unknown,0.004344442980607001,1.0741375852933266,-0.05744000894947795,1.1874967177952516,-0.003849778840683358,1954.9460162373607,0
unknown,sms,none,unknown,unknown,USD,-0.012538978279607545,0.9767623078791171,0.03665081149142291,-0.0944477280648728,0.00677223802861027,2335.7294850980375,1
unknown,phone,sent_money,none,none,unknown,-0.00590199626562408,0.8968357264000753,-0.06707256474089729,-0.004108712286929961,0.005583195771905034,-867.7821345964741,1
