annotation.is_fraud,annotation.fraud_type,annotation.fraud_labels.transaction_upi_fraud,annotation.fraud_labels.transaction_card_fraud,annotation.fraud_labels.transaction_bank_transfer,annotation.fraud_labels.commerce_nondelivery,annotation.fraud_labels.commerce_fake_seller,annotation.fraud_labels.credential_phishing,annotation.fraud_labels.social_authority_scam,annotation.fraud_labels.social_urgency_scam,annotation.fraud_labels.meta_victim_story,annotation.fraud_labels.meta_fraud_question,annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.amount_mentioned,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,annotation.key_features.amount_normalized,annotation.key_features.has_amount
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,social_media,sent_money,payment,individual,400,USD,0.5,1.0,1.0,0.0,0.0,400.0,1.0
1,commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,website,sent_money,payment,none,unknown,unknown,0.0,1.0,1.0,0.0,0.0,,0.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crypto,website,clicked_link,none,unknown,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bank,phone,shared_credentials,transaction,company,350000,USD,1.0,1.0,1.0,1.0,0.0,350000.0,1.0
1,commerce,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bank,sms,sent_money,payment,company,1000,EUR,0.5,1.0,1.0,0.0,0.0,1000.0,1.0
0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,social_media,none,none,none,none,unknown,0.0,1.0,1.0,0.0,0.0,,0.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,email,none,payment,paypal,{amount in USD},USD,0.9,1.0,1.0,1.0,0.0,,0.0
1,transaction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,upi,sms,sent_money,payment,bank,unknown,unknown,0.5,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,bank,social_media,sent_money,payment,unknown,200000,unknown,1.0,1.0,0.0,0.0,0.0,200000.0,1.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,email,none,transaction,bank,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0.0
1,transaction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upi,sms,sent_money,payment,bank,20,EUR,1.0,1.0,0.0,1.0,0.0,20.0,1.0
1,social_engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,unknown,sms,none,none,individual,unknown,unknown,1.0,1.0,0.0,0.0,0.0,,0.0
1,transaction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upi,sms,sent_money,payment,bank,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0.0
1,commerce,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,phone,sent_money,payment,company,36950,INR,1.0,1.0,1.0,0.0,0.0,36950.0,1.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crypto,app,sent_money,transaction,unknown,"$21,000,000",USD,0.9,1.0,1.0,0.0,0.0,21000000.0,1.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,sms,sent_money,payment,none,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bank,website,sent_money,payment,company,"$50,500",USD,1.0,1.0,1.0,1.0,0.0,50500.0,1.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,unknown,email,sent_money,payment,none,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,website,sent_money,payment,company,unknown,unknown,0.0,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,phone,none,payment,bank,6000,USD,1.0,1.0,1.0,1.0,0.0,6000.0,1.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bank,website,holded_coin,none,crypto_team,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0.0
1,credential,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unknown,email,clicked_link,phishing,axis_max_life_insurance,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bank,phone,paid,payment,builder,1420000,INR,0.8,1.0,1.0,1.0,0.0,1420000.0,1.0
1,transaction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,upi,website,sent_money,transaction,bank,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0.0
1,social_engineering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unknown,email,shared_credentials,none,school,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,none,sent_money,transaction,bank,50000,INR,1.0,1.0,0.0,1.0,0.0,50000.0,1.0
1,advanced,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bank,phone,sent_money,transaction,company,unknown,unknown,1.0,1.0,1.0,0.0,0.0,,0.0
1,social_engineering,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,unknown,email,none,none,government,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0.0
1,social_engineering,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,card,in_store,inputting_incorrect_information,application,salesperson,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,website,used_credentials,payment,individual,100,USD,0.8,1.0,0.0,0.0,0.0,100.0,1.0
1,social_engineering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,crypto,phone,none,verification,bank,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bank,phone,sent_money,payment,government,$2.5 million,USD,1.0,1.0,1.0,1.0,0.0,2500000.0,1.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,email,sent_money,payment,unknown,1500,unknown,0.8,1.0,1.0,0.0,0.0,1500.0,1.0
0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,website,clicked_link,payment,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,website,clicked_link,none,company,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0.0
1,social_engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,unknown,sms,sent_money,none,individual,unknown,unknown,1.0,1.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,phone,sent_money,payment,company,unknown,unknown,0.0,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,email,clicked_link,transaction,paypal,"$1,300",USD,0.8,1.0,1.0,1.0,0.0,1300.0,1.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,website,clicked_link,download,unknown,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0.0
1,commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,website,clicked_photographs,none,amazon_india,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,bank,email,none,payment,unknown,unknown,unknown,1.0,1.0,0.0,0.0,0.0,,0.0
1,credential,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unknown,email,shared_credentials,credential,individual,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0.0
1,commerce,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,upi,email,sent_money,payment,company,2145,INR,0.8,0.8,0.0,0.0,0.0,2145.0,1.0
1,transaction,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,upi,phone,sent_money,payment,flipkart_agency,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,email,sent_money,payment,company,unknown,unknown,0.0,1.0,1.0,1.0,0.0,,0.0
0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upi | card | bank | crypto | gift_card | unknown | none,sms | email | phone | social_media | website | app | unknown | none,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,payment | verification | login | download | none | unknown,bank_|_government_|_company_|_individual_|_none_|_unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,,0.0
1,transaction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upi,website,sent_money,payment,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,website,sent_money,transaction,none,unknown,unknown,0.9,1.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,website,sent_money,payment,company,$1.95,USD,0.7,1.0,0.0,1.0,0.0,1.95,1.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crypto,social_media,sent_money,payment,unknown,unknown,unknown,0.0,1.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,website,sent_money,payment,bank,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,phone,none,payment,company,$625,USD,0.8,1.0,0.0,1.0,0.0,625.0,1.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,phone,sent_money,payment,none,11000,unknown,0.8,1.0,0.0,0.0,0.0,11000.0,1.0
1,commerce,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,upi,email,sent_money,payment,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,email,shared_credentials,payment,unknown,60000,INR,0.5,1.0,1.0,0.0,0.0,60000.0,1.0
1,social_engineering,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,unknown,sms,none,none,unknown,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,website,clicked_link,transaction,car_dealer,unknown,unknown,0.5,1.0,0.0,1.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,email,sent_money,payment,seller,200000,USD,0.8,1.0,1.0,0.0,0.0,200000.0,1.0
1,commerce,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,upi,website,sent_money,payment,company,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bank,phone,physically_went_to_bank,transaction,none,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,telegram,sent_money,payment,unknown,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,crypto,unknown,none,payment,unknown,$100,USD,0.5,1.0,0.0,0.0,0.0,100.0,1.0
1,commerce,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,bank,sms,sent_money,commerce,artist,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0.0
1,transaction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card,sms,sent_money,payment,bank,135,unknown,0.8,1.0,1.0,1.0,0.0,135.0,1.0
1,transaction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bank,email,none,transaction,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0.0
1,social_engineering,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bank,phone,sent_money,payment,individual,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0.0
