Dataset,Classifier,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Log Loss
Original,Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.0002
Original,Random Forest,1.0,1.0,1.0,1.0,1.0,0.004
Original,Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.0
Original,Neural Network (MLP),0.9974,0.9982,0.9991,0.9986,0.9991,0.0251
CTGAN,Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.0003
CTGAN,Random Forest,1.0,1.0,1.0,1.0,1.0,0.004
CTGAN,Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.0
CTGAN,Neural Network (MLP),0.9974,0.9991,0.9982,0.9986,0.9999,0.0112
Adv-CTGAN,Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.0003
Adv-CTGAN,Random Forest,1.0,1.0,1.0,1.0,1.0,0.004
Adv-CTGAN,Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.0
Adv-CTGAN,Neural Network (MLP),0.993,0.9927,1.0,0.9963,0.9961,0.0488
