run_id,timestamp,eval.f1,eval.fpr,eval.l1_count,eval.l2_count,eval.precision,eval.recall,eval.roc_auc,eval.test_set_size,simulation.bootstrap_mean_f1,simulation.bootstrap_std,simulation.eps_0.0,simulation.eps_0.01,simulation.eps_0.03,simulation.eps_0.05,simulation.eps_0.08,simulation.eps_0.1,simulation.eps_0.15,simulation.eps_0.2,simulation.eps_0.25,simulation.eps_0.3,simulation.robustness_score,simulation.worst_noise_f1,training.adversarial_epsilon,training.adversarial_sample_count,training.drift_rows_added,training.l3_count,training.n_estimators,training.n_fraud,training.n_non_fraud,training.total_rows,training.train_f1
run_20260402100147,2026-04-02T10:01:47.886255+00:00,0.8972,0.1461,0,0,0.8891,0.9054,0.9516,1931,0.8959,0.0061,0.8972,0.8342,0.8331,0.8337,0.8193,0.8279,0.8283,0.8373,0.8282,0.8362,0.8515,0.8193,,0.0,0.0,0.0,200.0,4345.0,3357.0,7702.0,0.9193
run_20260402100216,2026-04-02T10:02:16.502241+00:00,0.8974,0.1485,0,0,0.8877,0.9073,0.9521,1931,0.895,0.0061,0.8974,0.9005,0.8971,0.8966,0.8405,0.8457,0.8476,0.8517,0.8496,0.8439,0.8629,0.8405,0.05,7726.0,24.0,0.0,200.0,8714.0,6738.0,15452.0,0.9278
run_20260402100337,2026-04-02T10:03:37.252198+00:00,0.8974,0.1485,0,0,0.8877,0.9073,0.9521,1931,0.8971,0.0065,0.8974,0.9005,0.8971,0.8966,0.8405,0.8457,0.8476,0.8517,0.8496,0.8439,0.8642,0.8405,0.05,7726.0,24.0,0.0,200.0,8714.0,6738.0,15452.0,0.9278
run_20260402100453,2026-04-02T10:04:53.093774+00:00,0.8974,0.1485,0,0,0.8877,0.9073,0.9521,1931,0.8972,0.0051,0.8974,0.9005,0.8971,0.8966,0.8405,0.8457,0.8476,0.8517,0.8496,0.8439,0.8647,0.8405,,,,,,,,,
run_20260402100752,2026-04-02T10:07:52.418896+00:00,0.8974,0.1485,0,0,0.8877,0.9073,0.9521,1931,0.8967,0.0065,0.8974,0.9005,0.8971,0.8966,0.8405,0.8457,0.8476,0.8517,0.8496,0.8439,0.8626,0.8405,0.05,7726.0,24.0,0.0,200.0,8714.0,6738.0,15452.0,0.9278
run_20260402101306,2026-04-02T10:13:06.624231+00:00,0.9,0.1471,0,0,0.8891,0.9111,0.9537,1934,0.901,0.0087,0.9,0.8989,0.9024,0.9002,0.8453,0.8532,0.85,0.8498,0.8574,0.859,0.8659,0.8453,,,,,,,,,
run_20260402101351,2026-04-02T10:13:51.018847+00:00,0.9,0.1471,0,0,0.8891,0.9111,0.9552,1934,0.8994,0.0077,0.9,0.8995,0.9023,0.8962,0.8528,0.8547,0.8476,0.8565,0.8597,0.864,0.8661,0.8476,0.05,7742.0,40.0,0.0,200.0,8730.0,6754.0,15484.0,0.9263
run_20260402103330,2026-04-02T10:33:30.925765+00:00,0.9,0.1471,0,0,0.8891,0.9111,0.9552,1934,0.8994,0.007,0.9,0.8995,0.9023,0.8962,0.8528,0.8547,0.8476,0.8565,0.8597,0.864,0.8679,0.8476,0.05,7742.0,40.0,0.0,200.0,8730.0,6754.0,15484.0,0.9263
run_20260403052814,2026-04-03T05:28:14.575541+00:00,0.9,0.1471,0,0,0.8891,0.9111,0.9552,1934,0.9028,0.0058,0.9,0.8995,0.9023,0.8962,0.8528,0.8547,0.8476,0.8565,0.8597,0.864,0.8698,0.8476,0.05,7742.0,40.0,0.0,200.0,8730.0,6754.0,15484.0,0.9263
run_20260403052812,20260403_052812,0.9,0.1471,,,0.8891,0.9111,0.9552,,0.9028,0.0058,0.9,0.8995,0.9023,0.8962,0.8528,0.8547,0.8476,0.8565,0.8597,0.864,0.8698,0.8476,0.05,7742.0,40.0,0.0,200.0,8730.0,6754.0,15484.0,0.9263
