metric,value
eval.f1,0.9982
eval.fpr,0.0339
eval.precision,0.9982
eval.recall,0.9982
eval.roc_auc,0.9961
simulation.bootstrap_mean_f1,0.9981
simulation.bootstrap_std,0.0009
simulation.robustness_score,0.9919
simulation.worst_noise_f1,0.9877
training.adversarial_sample_count,0.0
training.drift_rows_added,0.0
training.l3_count,0.0
training.n_estimators,200.0
training.n_fraud,2614.0
training.n_non_fraud,268.0
training.tabularbench_accuracy_drop,0.07
training.tabularbench_asr,0.08
training.tabularbench_robust_accuracy,99.9
training.tabularbench_robustness_score,0.999
training.tabularbench_standard_accuracy,99.97
training.total_rows,2882.0
training.train_f1,0.9998
