metric,value
eval.f1,0.9778
eval.fpr,0.0409
eval.precision,0.9679
eval.recall,0.9879
eval.roc_auc,0.9959
simulation.bootstrap_mean_f1,0.9783
simulation.bootstrap_std,0.0033
simulation.robustness_score,0.9739
simulation.worst_noise_f1,0.9761
training.adversarial_epsilon,0.05
training.adversarial_sample_count,7500.0
training.drift_rows_added,38.0
training.l3_count,0.0
training.n_estimators,200.0
training.n_fraud,8422.0
training.n_non_fraud,6578.0
training.total_rows,15000.0
training.train_f1,0.9998
