metric,value
eval.f1,0.9073
eval.fpr,0.1373
eval.precision,0.8938
eval.recall,0.9213
eval.roc_auc,0.9624
simulation.bootstrap_mean_f1,0.9063
simulation.bootstrap_std,0.0072
simulation.robustness_score,0.8795
simulation.worst_noise_f1,0.8654
training.adversarial_epsilon,0.05
training.adversarial_sample_count,8002.0
training.drift_rows_added,300.0
training.l3_count,0.0
training.n_estimators,200.0
training.n_fraud,8874.0
training.n_non_fraud,7130.0
training.total_rows,16004.0
training.train_f1,0.9286
