metric,value
eval.f1,0.9939
eval.fpr,0.0128
eval.precision,0.9898
eval.recall,0.9981
eval.roc_auc,0.9997
simulation.bootstrap_mean_f1,0.9944
simulation.bootstrap_std,0.0015
simulation.robustness_score,0.9242
simulation.worst_noise_f1,0.8562
training.adversarial_epsilon,0.05
training.adversarial_sample_count,7762.0
training.drift_rows_added,300.0
training.l3_count,0.0
training.n_estimators,200.0
training.n_fraud,8576.0
training.n_non_fraud,6948.0
training.total_rows,15524.0
training.train_f1,0.995
